Kód,Územná jednotka,Spolu,muži (abs.),muži (%),ženy (abs.),ženy (%)
SK0211502022,Zlaté Klasy,3611,1753,48.55,1858,51.45
SK0211503461,Bodíky,274,139,50.73,135,49.27
SK0211555517,Bellova Ves,326,167,51.23,159,48.77
SK0211555541,Dunajský Klátov,767,394,51.37,373,48.63
SK0211555568,Horné Mýto,905,456,50.39,449,49.61
SK0211555576,Trhová Hradská,2211,1048,47.4,1163,52.6
SK0211555606,Macov,446,218,48.88,228,51.12
SK0211555649,Mad,571,281,49.21,290,50.79
SK0211555665,Malé Dvorníky,1182,579,48.98,603,51.02
SK0211555673,Veľké Dvorníky,1374,683,49.71,691,50.29
SK0211555720,Povoda,964,477,49.48,487,50.52
SK0211555746,Vieska (Okres Dunajská Streda),407,209,51.35,198,48.65
SK0211580554,Čenkovce,1092,548,50.18,544,49.82
SK0211580597,Kyselica,206,99,48.06,107,51.94
SK0211582522,Potônske Lúky,271,139,51.29,132,48.71
SK0212503665,Galanta,15052,7235,48.07,7817,51.93
SK0212503673,Abrahám,1120,561,50.09,559,49.91
SK0212503690,Čierna Voda,1424,717,50.35,707,49.65
SK0212503703,Čierny Brod,1645,807,49.06,838,50.94
SK0212503746,Dolné Saliby,2020,1008,49.9,1012,50.1
SK0212503754,Dolný Chotár,361,193,53.46,168,46.54
SK0212503762,Gáň,870,431,49.54,439,50.46
SK0212503771,Horné Saliby,3198,1594,49.84,1604,50.16
SK0212503789,Hoste,437,217,49.66,220,50.34
SK0212503827,Jánovce (Okres Galanta),492,235,47.76,257,52.24
SK0212503835,Jelka,4042,2008,49.68,2034,50.32
SK0212503843,Kajal,1554,809,52.06,745,47.94
SK0212503860,Košúty,1793,869,48.47,924,51.53
SK0212503878,Kráľov Brod,1058,518,48.96,540,51.04
SK0212503924,Mostová,1578,789,50,789,50
SK0212503959,Pata,3253,1573,48.36,1680,51.64
SK0212503967,Pusté Sady,605,311,51.4,294,48.6
SK0212503975,Pusté Úľany,1824,883,48.41,941,51.59
SK0212504009,Sereď,15737,7683,48.82,8054,51.18
SK0212504017,Sládkovičovo,5415,2616,48.31,2799,51.69
SK0212504033,Šalgočka,465,228,49.03,237,50.97
SK0212504041,Šintava,1754,869,49.54,885,50.46
SK0212504050,Šoporňa,4081,2093,51.29,1988,48.71
SK0212504076,Tomášikovo,1736,846,48.73,890,51.27
SK0212504084,Topoľnica,799,411,51.44,388,48.56
SK0212504106,Trstice,3864,1916,49.59,1948,50.41
SK0212504114,Váhovce,2097,1058,50.45,1039,49.55
SK0212504122,Veľká Mača,2614,1288,49.27,1326,50.73
SK0212504131,Veľké Úľany,4665,2286,49,2379,51
SK0212504149,Veľký Grob,1425,707,49.61,718,50.39
SK0212504157,Vinohrady nad Váhom,1657,824,49.73,833,50.27
SK0212504173,Vozokany (Okres Galanta),1121,554,49.42,567,50.58
SK0212504181,Zemianske Sady,870,427,49.08,443,50.92
SK0212555754,Matúškovo,2262,1140,50.4,1122,49.6
SK0212555789,Dolná Streda,1654,832,50.3,822,49.7
SK0212582638,Malá Mača,582,295,50.69,287,49.31
SK0213506800,Bojničky,1421,698,49.12,723,50.88
SK0213506885,Červeník,1685,860,51.04,825,48.96
SK0213506958,Dolné Otrokovce,386,193,50,193,50
SK0213506966,Dolné Trhovište,610,317,51.97,293,48.03
SK0213507024,Dvorníky,2026,1021,50.39,1005,49.61
SK0213507032,Hlohovec,20556,10001,48.65,10555,51.35
SK0213507075,Horné Otrokovce,869,432,49.71,437,50.29
SK0213507130,Jalšové,487,244,50.1,243,49.9
SK0213507172,Kľačany,1127,559,49.6,568,50.4
SK0213507202,Koplotovce,785,377,48.03,408,51.97
SK0213507253,Leopoldov,3973,1966,49.48,2007,50.52
SK0213507288,Madunice,2274,1119,49.21,1155,50.79
SK0213507326,Merašice,426,217,50.94,209,49.06
SK0213507415,Pastuchov,976,500,51.23,476,48.77
SK0213507521,Sasinkovo,842,434,51.54,408,48.46
SK0213507539,Siladice,673,320,47.55,353,52.45
SK0213507661,Trakovice,1581,768,48.58,813,51.42
SK0213507792,Žlkovce,663,344,51.89,319,48.11
SK0213518620,Ratkovce,350,181,51.71,169,48.29
SK0213556521,Dolné Zelenice,592,290,48.99,302,51.01
SK0213556530,Horné Zelenice,692,357,51.59,335,48.41
SK0213556602,Horné Trhovište,590,294,49.83,296,50.17
SK0213556611,Tekolďany,132,67,50.76,65,49.24
SK0213556645,Tepličky,299,151,50.5,148,49.5
SK0214506834,Borovce,1080,525,48.61,555,51.39
SK0214506982,Dolný Lopašov,996,511,51.31,485,48.69
SK0214506991,Drahovce,2592,1318,50.85,1274,49.15
SK0214507008,Dubovany,1066,541,50.75,525,49.25
SK0214507121,Chtelnica,2572,1290,50.16,1282,49.84
SK0214507199,Kočín-Lančár,519,261,50.29,258,49.71
SK0214507229,Krakovany,1467,735,50.1,732,49.9
SK0214507342,Moravany nad Váhom,2440,1158,47.46,1282,52.54
SK0214507369,Nižná (Okres Piešťany),545,279,51.19,266,48.81
SK0214507385,Ostrov (Okres Piešťany),1204,600,49.83,604,50.17
SK0214507431,Pečeňady,565,283,50.09,282,49.91
SK0214507440,Piešťany,27681,13028,47.06,14653,52.94
SK0214507466,Prašník,812,417,51.35,395,48.65
SK0214507482,Rakovice,620,314,50.65,306,49.35
SK0214507491,Ratnovce,1079,546,50.6,533,49.4
SK0214507563,Sokolovce,1368,691,50.51,677,49.49
SK0214507679,Trebatice,1340,667,49.78,673,50.22
SK0214507709,Veľké Kostoľany,2798,1439,51.43,1359,48.57
SK0214507725,Veselé,1224,612,50,612,50
SK0214507750,Vrbové,5739,2762,48.13,2977,51.87
SK0214556548,Šterusy,491,238,48.47,253,51.53
SK0214556572,Veľké Orvište,1060,542,51.13,518,48.87
SK0214556581,Hubina,519,249,47.98,270,52.02
SK0214558338,Ducové,457,226,49.45,231,50.55
SK0214558354,Bašovce,340,167,49.12,173,50.88
SK0214558397,Šípkové,300,144,48,156,52
SK0214581399,Banka,2158,1081,50.09,1077,49.91
SK0215504203,Senica,19875,9675,48.68,10200,51.32
SK0215504211,Bílkove Humence,194,102,52.58,92,47.42
SK0215504220,Borský Svätý Jur,1631,784,48.07,847,51.93
SK0215504238,Borský Mikuláš,3953,1955,49.46,1998,50.54
SK0215504297,Cerová,1105,538,48.69,567,51.31
SK0215504319,Čáry,1269,628,49.49,641,50.51
SK0215504327,Častkov,563,277,49.2,286,50.8
SK0215504335,Dojč,1269,643,50.67,626,49.33
SK0215504360,Hlboké,980,489,49.9,491,50.1
SK0215504386,Hradište pod Vrátnom,672,344,51.19,328,48.81
SK0215504416,Jablonica,2258,1112,49.25,1146,50.75
SK0215504475,Koválov,693,348,50.22,345,49.78
SK0215504491,Kuklov,789,371,47.02,418,52.98
SK0215504513,Kúty,4036,2044,50.64,1992,49.36
SK0215504521,Lakšárska Nová Ves,1130,562,49.73,568,50.27
SK0215504572,Moravský Svätý Ján,2150,1106,51.44,1044,48.56
SK0215504602,Osuské,609,286,46.96,323,53.04
SK0215504645,Plavecký Peter,608,307,50.49,301,49.51
SK0215504653,Podbranč,621,303,48.79,318,51.21
SK0215504700,Prietrž,753,373,49.54,380,50.46
SK0215504726,Prievaly,985,506,51.37,479,48.63
SK0215504777,Rovensko,434,221,50.92,213,49.08
SK0215504823,Smolinské,903,434,48.06,469,51.94
SK0215504831,Smrdáky,584,277,47.43,307,52.57
SK0215504840,Sobotište,1424,711,49.93,713,50.07
SK0215504882,Šajdíkove Humence,1089,548,50.32,541,49.68
SK0215504891,Šaštín-Stráže,4979,2498,50.17,2481,49.83
SK0215504904,Štefanov,1638,817,49.88,821,50.12
SK0215556114,Sekule,1755,873,49.74,882,50.26
SK0215556122,Rohov,383,142,37.08,241,62.92
SK0215556131,Rybky,417,216,51.8,201,48.2
SK0216504271,Brodské,2303,1126,48.89,1177,51.11
SK0216504343,Dubovce,614,299,48.7,315,51.3
SK0216504351,Gbely,4921,2465,50.09,2456,49.91
SK0216504378,Holíč,11214,5578,49.74,5636,50.26
SK0216504394,Chropov,382,181,47.38,201,52.62
SK0216504432,Kátov,624,310,49.68,314,50.32
SK0216504459,Kopčany,2555,1305,51.08,1250,48.92
SK0216504483,Koválovec,144,89,61.81,55,38.19
SK0216504530,Letničie,500,254,50.8,246,49.2
SK0216504548,Lopašov,332,170,51.2,162,48.8
SK0216504564,Mokrý Háj,729,352,48.29,377,51.71
SK0216504599,Oreské (Okres Skalica),395,193,48.86,202,51.14
SK0216504611,Petrova Ves,1082,546,50.46,536,49.54
SK0216504670,Popudinské Močidľany,963,487,50.57,476,49.43
SK0216504718,Prietržka,538,270,50.19,268,49.81
SK0216504734,Radimov,535,277,51.78,258,48.22
SK0216504742,Radošovce (Okres Skalica),1778,893,50.22,885,49.78
SK0216504815,Skalica,15573,7579,48.67,7994,51.33
SK0216504912,Trnovec,285,147,51.58,138,48.42
SK0216504939,Unín,1206,612,50.75,594,49.25
SK0216504963,Vrádište,852,443,52,409,48
SK0217506745,Trnava,63803,30694,48.11,33109,51.89
SK0217506788,Bíňovce,654,314,48.01,340,51.99
SK0217506796,Bohdanovce nad Trnavou,1465,726,49.56,739,50.44
SK0217506818,Boleráz,2370,1194,50.38,1176,49.62
SK0217506826,Borová,467,231,49.46,236,50.54
SK0217506842,Brestovany,2622,1269,48.4,1353,51.6
SK0217506851,Bučany,2386,1181,49.5,1205,50.5
SK0217506869,Buková,642,323,50.31,319,49.69
SK0217506877,Cífer,4500,2143,47.62,2357,52.38
SK0217506893,Dechtice,1790,884,49.39,906,50.61
SK0217506915,Dobrá Voda,803,406,50.56,397,49.44
SK0217506923,Dolná Krupá,2435,1222,50.18,1213,49.82
SK0217506931,Dolné Dubové,736,380,51.63,356,48.37
SK0217506940,Dolné Orešany,1359,687,50.55,672,49.45
SK0217507041,Horná Krupá,488,248,50.82,240,49.18
SK0217507059,Horné Dubové,369,181,49.05,188,50.95
SK0217507067,Horné Orešany,1934,961,49.69,973,50.31
SK0217507156,Jaslovské Bohunice,2337,1183,50.62,1154,49.38
SK0217507164,Kátlovce,1133,588,51.9,545,48.1
SK0217507211,Košolná,824,414,50.24,410,49.76
SK0217507296,Majcichov,2163,1066,49.28,1097,50.72
SK0217507318,Malženice,1560,766,49.1,794,50.9
SK0217507351,Naháč,394,209,53.05,185,46.95
SK0217507512,Ružindol,1659,822,49.55,837,50.45
SK0217507555,Smolenice,3248,1592,49.01,1656,50.99
SK0217507571,Suchá nad Parnou,2202,1066,48.41,1136,51.59
SK0217507601,Špačince,3110,1535,49.36,1575,50.64
SK0217507636,Šúrovce,2277,1123,49.32,1154,50.68
SK0217507687,Trstín,1405,702,49.96,703,50.04
SK0217507741,Voderady,1609,793,49.29,816,50.71
SK0217507768,Zavar,2383,1352,56.74,1031,43.26
SK0217507776,Zeleneč,2632,1296,49.24,1336,50.76
SK0217556483,Križovany nad Dudváhom,1745,868,49.74,877,50.26
SK0217556491,Opoj,1269,657,51.77,612,48.23
SK0217556513,Vlčkovce,1338,671,50.15,667,49.85
SK0217556556,Pavlice,544,262,48.16,282,51.84
SK0217556564,Slovenská Nová Ves,548,272,49.64,276,50.36
SK0217556599,Dlhá,441,211,47.85,230,52.15
SK0217556653,Radošovce (Okres Trnava),415,192,46.27,223,53.73
SK0217556661,Dolné Lovčice,800,414,51.75,386,48.25
SK0217556670,Šelpice,917,453,49.4,464,50.6
SK0217556688,Lošonec,588,284,48.3,304,51.7
SK0217580473,Biely Kostol,2376,1202,50.59,1174,49.41
SK0217581020,Hrnčiarovce nad Parnou,2237,1080,48.28,1157,51.72
SK0217581488,Zvončín,917,448,48.85,469,51.15
SK0221505056,Ľutov,174,95,54.6,79,45.4
SK0221505072,Malá Hradná,411,201,48.91,210,51.09
SK0221505102,Malé Hoste,409,212,51.83,197,48.17
SK0221505153,Miezgovce,283,148,52.3,135,47.7
SK0221505200,Nedašovce,435,214,49.2,221,50.8
SK0221505277,Omastiná,40,25,62.5,15,37.5
SK0221505331,Pečeňany,521,260,49.9,261,50.1
SK0221505358,Podlužany (Okres Bánovce nad Bebravou),934,473,50.64,461,49.36
SK0221505382,Pravotice,343,172,50.15,171,49.85
SK0221505412,Prusy,617,296,47.97,321,52.03
SK0221505447,Ruskovce (Okres Bánovce nad Bebravou),519,253,48.75,266,51.25
SK0221505455,Rybany,1517,766,50.49,751,49.51
SK0221505471,Slatina nad Bebravou,452,230,50.88,222,49.12
SK0221505480,Slatinka nad Bebravou,198,98,49.49,100,50.51
SK0221505544,Šípkov,149,80,53.69,69,46.31
SK0221505552,Šišov,510,262,51.37,248,48.63
SK0221505579,Timoradza,504,256,50.79,248,49.21
SK0221505595,Trebichava,41,23,56.1,18,43.9
SK0221505625,Uhrovec,1529,737,48.2,792,51.8
SK0221505633,Uhrovské Podhradie,39,23,58.97,16,41.03
SK0221505684,Veľké Hoste,554,278,50.18,276,49.82
SK0221505692,Veľké Chlievany,498,240,48.19,258,51.81
SK0221505765,Vysočany,109,66,60.55,43,39.45
SK0221505790,Zlatníky,681,328,48.16,353,51.84
SK0221505811,Žitná-Radiša,448,228,50.89,220,49.11
SK0221542652,Bánovce nad Bebravou,17311,8360,48.29,8951,51.71
SK0221542741,Brezolupy,504,241,47.82,263,52.18
SK0221542776,Cimenná,101,50,49.5,51,50.5
SK0221542806,Čierna Lehota (Okres Bánovce nad Bebravou),110,57,51.82,53,48.18
SK0221542822,Dežerice,1019,529,51.91,490,48.09
SK0221542849,Dolné Naštice,588,294,50,294,50
SK0221542857,Dubnička,124,71,57.26,53,42.74
SK0221542873,Dvorec,475,243,51.16,232,48.84
SK0221542890,Haláčovce,369,187,50.68,182,49.32
SK0221542920,Horné Naštice,506,246,48.62,260,51.38
SK0221543080,Krásna Ves,496,235,47.38,261,52.62
SK0221543136,Kšinná,486,235,48.35,251,51.65
SK0221545651,Veľké Držkovce,680,339,49.85,341,50.15
SK0221556289,Otrhánky,394,199,50.51,195,49.49
SK0221556360,Libichava,142,75,52.82,67,47.18
SK0221556408,Chudá Lehota,226,120,53.1,106,46.9
SK0221556742,Pochabany,258,135,52.33,123,47.67
SK0221556793,Borčany,263,141,53.61,122,46.39
SK0222512885,Bolešov,1535,767,49.97,768,50.03
SK0222512931,Červený Kameň,670,327,48.81,343,51.19
SK0222513016,Dubnica nad Váhom,22595,11108,49.16,11487,50.84
SK0222513024,Dulov,918,469,51.09,449,48.91
SK0222513091,Horná Poruba,1084,561,51.75,523,48.25
SK0222513156,Ilava,5572,2737,49.12,2835,50.88
SK0222513253,Košeca,2734,1370,50.11,1364,49.89
SK0222513296,Ladce,2514,1204,47.89,1310,52.11
SK0222513351,Košecké Podhradie,1047,506,48.33,541,51.67
SK0222513385,Mikušovce (Okres Ilava),1050,532,50.67,518,49.33
SK0222513440,Nová Dubnica,10884,5259,48.32,5625,51.68
SK0222513598,Pruské,2310,1147,49.65,1163,50.35
SK0222513725,Tuchyňa,806,407,50.5,399,49.5
SK0222513865,Zliechov,580,291,50.17,289,49.83
SK0222557391,Borčice,712,351,49.3,361,50.7
SK0222557404,Kameničany,563,278,49.38,285,50.62
SK0222557412,Sedmerovec,426,210,49.3,216,50.7
SK0222557421,Slavnica,825,349,42.3,476,57.7
SK0222557617,Krivoklát,238,127,53.36,111,46.64
SK0222557625,Vršatské Podhradie,222,111,50,111,50
SK0222582301,Bohunice (Okres Ilava),773,385,49.81,388,50.19
SK0223504254,Brestovec (Okres Myjava),979,493,50.36,486,49.64
SK0223504262,Brezová pod Bradlom,4848,2374,48.97,2474,51.03
SK0223504289,Bukovec (Okres Myjava),431,201,46.64,230,53.36
SK0223504408,Chvojnica (Okres Myjava),346,168,48.55,178,51.45
SK0223504424,Jablonka,470,244,51.91,226,48.09
SK0223504467,Košariská,415,202,48.67,213,51.33
SK0223504581,Myjava,10985,5304,48.28,5681,51.72
SK0223504661,Polianka,396,198,50,198,50
SK0223504688,Poriadie,682,340,49.85,342,50.15
SK0223504696,Priepasné,354,180,50.85,174,49.15
SK0223504793,Rudník (Okres Myjava),817,419,51.29,398,48.71
SK0223504866,Stará Myjava,762,392,51.44,370,48.56
SK0223504971,Vrbovce,1450,730,50.34,720,49.66
SK0223506079,Hrašné,481,238,49.48,243,50.52
SK0223506141,Kostolné,598,313,52.34,285,47.66
SK0223506150,Krajné,1434,727,50.7,707,49.3
SK0223506419,Podkylava,230,112,48.7,118,51.3
SK0224505846,Beckov,1436,692,48.19,744,51.81
SK0224505871,Bošáca,1360,693,50.96,667,49.04
SK0224505889,Brunovce,593,282,47.55,311,52.45
SK0224505897,Bzince pod Javorinou,2051,1010,49.24,1041,50.76
SK0224505901,Čachtice,3703,1851,49.99,1852,50.01
SK0224505919,Častkovce,1639,823,50.21,816,49.79
SK0224505951,Dolné Srnie,992,475,47.88,517,52.12
SK0224505994,Hôrka nad Váhom,774,387,50,387,50
SK0224506001,Horná Streda,1384,662,47.83,722,52.17
SK0224506052,Hrádok,737,390,52.92,347,47.08
SK0224506061,Hrachovište,676,329,48.67,347,51.33
SK0224506109,Kálnica,1024,530,51.76,494,48.24
SK0224506125,Kočovce,1631,817,50.09,814,49.91
SK0224506184,Lubina,1444,750,51.94,694,48.06
SK0224506206,Lúka,701,356,50.78,345,49.22
SK0224506249,Modrová,476,227,47.69,249,52.31
SK0224506257,Modrovka,203,100,49.26,103,50.74
SK0224506265,Moravské Lieskové,2539,1294,50.96,1245,49.04
SK0224506303,Nová Bošáca,1027,523,50.93,504,49.07
SK0224506311,Nová Lehota,207,101,48.79,106,51.21
SK0224506338,Nové Mesto nad Váhom,19644,9476,48.24,10168,51.76
SK0224506346,Očkov,472,243,51.48,229,48.52
SK0224506401,Pobedim,1158,574,49.57,584,50.43
SK0224506427,Podolie,1914,923,48.22,991,51.78
SK0224506435,Potvorice,681,351,51.54,330,48.46
SK0224506443,Považany,1236,628,50.81,608,49.19
SK0224506516,Stará Lehota,175,94,53.71,81,46.29
SK0224506524,Stará Turá,8724,4218,48.35,4506,51.65
SK0224506583,Trenčianske Bohuslavice,968,495,51.14,473,48.86
SK0224506630,Vaďovce,713,365,51.19,348,48.81
SK0224506672,Višňové (Okres Nové Mesto nad Váhom),171,85,49.71,86,50.29
SK0224556424,Haluzice,75,36,48,39,52
SK0224556441,Zemianske Podhradie,764,370,48.43,394,51.57
SK0224556459,Nová Ves nad Váhom,548,255,46.53,293,53.47
SK0225505129,Malé Kršteňany,527,262,49.72,265,50.28
SK0225505170,Nadlice,594,308,51.85,286,48.15
SK0225505196,Nedanovce,612,305,49.84,307,50.16
SK0225505307,Ostratice,776,389,50.13,387,49.87
SK0225505315,Partizánske,21439,10275,47.93,11164,52.07
SK0225505323,Pažiť,504,259,51.39,245,48.61
SK0225505463,Skačany,1337,676,50.56,661,49.44
